|id|Название|Регион:|Населённый пункт:|Форма собственности:|Адрес:|Лицензия: №|specialization
23|1650|Ярославский филиал федерального государственного образовательного бюджетного учреждения высшего образования «Финансовый университет при Правительстве Российской Федерации»|Ярославская область|г. Ярославль|Негосударственный филиал|150003, Ярославская область, г. Ярославль, ул. Кооперативная, д. 12а|1495 от 09.06.2015 (Бессрочная)|['080100', '080100', '080105', '080109', '080200', '080500', '080504', '080507', '380301', '380301', '380302', '380302', '380304', '380304', '380305', '380401', '380401', '380402', '380402']
24|1973|Владикавказский филиал частного образовательного учреждения высшего образования Современная гуманитарная академия|Республика Северная Осетия - Алания|г. Владикавказ|Негосударственный филиал|362021, Республика Северная Осетия-Алания, г. Владикавказ, ул. Тельмана, д. 2|2370 от 06.09.2016 (Бессрочная)|['030300', '030300', '030500', '030500', '031100', '031100', '080100', '080100', '080500', '230100', '230100']
25|12110|Федеральное государственное бюджетное научное учреждение «Научный центр неврологии»|г. Москва|г. Москва|Негосударственный головной ВУЗ|125367, г. Москва, Волоколамское шоссе, дом 80|1203 от 24.12.2014 (Бессрочная)|['300601', '310601', '310809', '310842']
26|1662|филиал федерального государственного автономного образовательного учреждения высшего образования «Южный федеральный университет» в г. Новошахтинске Ростовской области|Ростовская область|г. Новошахтинск|Негосударственный филиал|346900, Ростовская область, г. Новошахтинск, ул. 40 лет Октября, д. 2|1901 от 29.01.2016 (Бессрочная)|['090301', '090303', '380301', '380302', '390302', '440301']
27|9849|Волгоградский филиал федерального государственного бюджетного образовательного учреждения высшего профессионального образования «Российский государственный торгово-экономический университет»|Волгоградская область| г. Москва|Государственный филиал|ГСП-3, ул. Смольная, д. 36, г. Москва, 125993|0501 от 16.01.2013 (Бессрочная)|['080114', '080200', '100700']
28|5626|Анапский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Московский педагогический государственный университет»|Краснодарский край| г. Анапа|Негосударственный филиал|353410, Краснодарский край, г. Анапа, ул. Астраханская, д. 88|1818 от 11.12.2015 (Бессрочная)|['090303', '090303', '380201', '380204', '380302', '380302', '380304', '380304', '430211', '440201', '440202', '440301', '440301', '440302', '440302']
29|1268|Казанский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Поволжский государственный университет телекоммуникаций и информатики»|Республика Татарстан (Татарстан)|г. Казань|Негосударственный филиал||2138 от 17.05.2016 (Бессрочная)|['210404', '210406']
30|1079|Частное образовательное учреждение высшего образования «Ставропольский институт непрерывного медицинского и фармацевтического образования»|Ставропольский край|г. Ставрополь|Негосударственный головной ВУЗ|355006, Ставропольский край, г. Ставрополь, ул. Кирова, д. 25, литер А|1183 от 10.12.2014 (Бессрочная)|['060201', '060301']
31|5509|Красноярский промышленный колледж - филиал федерального государственного автономного образовательного учреждения высшего образования «Национальный исследовательский ядерный университет «МИФИ»|Красноярский край|г. Железногорск|Негосударственный филиал|662971, Красноярский край, г. Железногорск, ул. Свердлова, д. 5|2151 от 24.05.2016 (Бессрочная)|['080201', '080209', '150201', '150207', '180203']
32|1814|Федеральное государственное бюджетное образовательное учреждение высшего образования «Волжский государственный университет водного транспорта»|Нижегородская область|г. Нижний Новгород|Государственный головной ВУЗ|603005, Нижегородская область, город Нижний Новгород, ул. Нестерова, дом 5|1483 от 05.06.2015 (Бессрочная)|['010601', '080301', '080401', '090207', '090302', '090601', '100205', '130601', '200301', '200401', '220206', '230201', '230301', '230303', '230401', '230403', '250503', '260201', '260203', '260205', '260206', '260301', '260302', '260402', '260505', '260506', '260507', '260601', '270302', '380201', '380301', '380302', '380401', '380402', '380501', '380601', '400301', '400401', '400501', '400601']
33|12483|филиал федерального государственного бюджетного образовательного учреждения высшего образования «Уральский государственный университет путей сообщения» в г. Тюмени|Тюменская область||Государственный филиал||2055 от 31.03.2016 (Бессрочная)|['230504', '230505']
34|891|федеральное государственное бюджетное образовательное учреждение высшего образования «Псковский государственный университет»|Псковская область|г. Псков|Государственный головной ВУЗ|180000, г. Псков, пл. Ленина, д. 2|2219 от 24.06.2016 (Бессрочная)|['020301', '030601', '050302', '050402', '050601', '060301', '060401', '060601', '070201', '080201', '080205', '080208', '080301', '090203', '090301', '090302', '090303', '090401', '090402', '090601', '110201', '110212', '130302', '130402', '130601', '150201', '150207', '150208', '150305', '150405', '150601', '200301', '230203', '230303', '230403', '230501', '270305', '290305', '300501', '300503', '310501', '350308', '370301', '370401', '370501', '370502', '370601', '380201', '380207', '380301', '380302', '380304', '380401', '380402', '380404', '380501', '380502', '380601', '390302', '390402', '400301', '400401', '400601', '410301', '410401', '420301', '420302', '420402', '430210', '430211', '430301', '430302', '440201', '440301', '440302', '440303', '440305', '440401', '440402', '440403', '440601', '450301', '450302', '450401', '450402', '450601', '460301', '460302', '460401', '460601', '480301', '480401', '510304', '540301', '540302', '540401']
35|12767|ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ «ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ»|образовательные учреждения, находящиеся за пределами Российской Федерации||Негосударственный головной ВУЗ||1645 от 25.11.2019 (Бессрочная)|['020401', '090401', '090402', '090403', '090404', '110401', '110402', '110404', '120401', '130401', '130402', '150402', '150404', '150405', '150406']
36|10221|Федеральное государственное бюджетное учреждение науки Объединенный институт высоких температур Российской академии наук|г. Москва|г. Москва|Негосударственный головной ВУЗ|125412, Россия, Москва, ул. Ижорская, д. 13, строение 2|0123 от 29.05.2012 (Бессрочная)|['030601', '040601']
37|9220|Негосударственное образовательное учреждение высшего профессионального образования «Байкальский институт управления»|Иркутская область|г. Иркутск|Негосударственный головной ВУЗ|664003, Иркутская область, г. Иркутск, ул. Красного Восстания, дом 9|1437 от 18.05.2015 (Бессрочная)|['380302', '380304', '380502']
38|2356|федеральное государственное бюджетное образовательное учреждение высшего образования «Пензенский государственный технологический университет»|Пензенская область|г. Пенза|Государственный головной ВУЗ|440039, г. Пенза, проезд Байдукова/улица Гагарина, д. 1а/11|1902 от 28.01.2016 (Бессрочная)|['050601', '090201', '090202', '090301', '090302', '090303', '090304', '090401', '090402', '090403', '090404', '090501', '090601', '120304', '120404', '150207', '150208', '150302', '150304', '150305', '150405', '150601', '180209', '180302', '190201', '190203', '190205', '190207', '190301', '190302', '190304', '190401', '190404', '190601', '200301', '200401', '270202', '270302', '270402', '380204', '380205', '380301', '380302', '380401', '380601', '430301', '440304', '440404', '440601', '450303']
39|5924|Федеральное государственное бюджетное научное учреждение «Всероссийский научно-исследовательский институт электрификации сельского хозяйства»|г. Москва|г. Москва|Государственный головной ВУЗ|109456, г. Москва, 1-й Вешняковский проезд, дом 2|1280 от 12.02.2015 (Бессрочная)|['130601', '350604']
40|1925|филиал федерального государственного автономного образовательного учреждения высшего образования «Российский университет дружбы народов» в г. Перми|Пермский край|г. Пермь|Негосударственный филиал|Россия, 614111, Пермский край, г. Пермь, ул. Муромская, д. 32|1204 от 23.12.2014 (Бессрочная)|['030501', '030501', '030501', '030501', '030900', '030900', '080800', '080800', '090303', '230700', '230700', '400301']
41|687|Сердобский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Пензенский государственный университет»|Пензенская область|г. Сердобск|Негосударственный филиал|442894, Пензенская область, г. Сердобск, ул. Ленина, д. 285а|2191 от 15.06.2016 (Бессрочная)|['090203', '400201', '460201']
42|2524|федеральное государственное бюджетное образовательное учреждение высшего образования «Дагестанский государственный университет»|Республика Дагестан|г. Махачкала|Государственный головной ВУЗ|367000, Республика Дагестан, город Махачкала, ул. М. Гаджиева, дом 43А|2104 от 21.04.2016 (Бессрочная)|['010301', '010302', '010401', '010402', '010601', '020301', '020302', '020402', '020601', '030302', '030402', '030601', '040301', '040401', '040501', '040601', '050302', '050306', '050402', '050406', '060301', '060302', '060401', '060601', '090302', '090303', '090402', '090403', '090601', '100301', '110304', '110404', '130302', '130402', '180302', '180402', '200201', '350308', '350407', '370301', '370401', '370601', '380301', '380302', '380303', '380304', '380305', '380306', '380401', '380402', '380403', '380404', '380405', '380408', '380501', '380502', '380601', '390302', '390402', '400201', '400202', '400203', '400301', '400401', '400503', '400601', '420302', '420402', '440301', '440601', '450301', '450302', '450401', '450402', '450601', '460301', '460401', '460601', '470301', '470401', '470601', '490301', '510306', '520501', '580301', '580401']
43|10304|Федеральное государственное бюджетное учреждение науки Институт проблем химической физики Российской академии наук|Московская область|г. Черноголовка|Негосударственный головной ВУЗ|Российская Федерация, 142432, Московская область, Ногинский район, город Черноголовка, проспект академика Семенова, 1|2579 от 19.03.2012 (Бессрочная)|['030601', '040601', '060601']
44|1017|федеральное государственное казенное образовательное учреждение высшего образования «Омская академия Министерства внутренних дел Российской Федерации»|Омская область|г. Омск|Государственный головной ВУЗ|Российская Федерация, 644092, Омская область, г. Омск, пр-кт Комарова, д. 7|1628 от 02.09.2015 (Бессрочная)|['380501', '400202', '400301', '400501', '400502', '400601', '400701']
45|763|федеральное государственное бюджетное образовательное учреждение высшего образования «Ангарский государственный технический университет»|Иркутская область|г. Ангарск|Негосударственный головной ВУЗ|665835, Иркутская область, г. Ангарск, ул. Чайковского, д. 60|1778 от 23.11.2015 (Бессрочная)|['050601', '080301', '080301', '080401', '080401', '090301', '090301', '090401', '090401', '090601', '090601', '110304', '110304', '110404', '110404', '130302', '130302', '150302', '150302', '150304', '150304', '150402', '150402', '150404', '150404', '180301', '180301', '180302', '180302', '180401', '180401', '180402', '180601', '180601', '200301', '200301', '200401', '200401', '230301', '230301', '380301', '380301', '380302', '380302']
46|1533|федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный институт культуры»|г. Санкт-Петербург|г. Санкт-Петербург|Государственный головной ВУЗ|191186, Санкт-Петербург, Дворцовая наб., д. 2|1294 от 25.02.2015 (Бессрочная)|['430302', '430402', '440302', '440601', '450302', '470601', '500303', '500403', '500601', '510301', '510302', '510303', '510304', '510305', '510306', '510401', '510402', '510403', '510404', '510405', '510406', '510601', '520301', '520501', '520502', '530301', '530302', '530303', '530304', '530305', '530306', '530401', '530402', '530403', '530404', '530406', '530901', '530902', '530905', '540301', '540304', '540401', '540404', '540907', '550501']
47|988|федеральное государственное казенное военное образовательное учреждение высшего образования «Военная академия радиационной, химической и биологической защиты имени Маршала Советского Союза С.К. Тимошенко (г. Кострома)» Министерства обороны Российской Федерации|Костромская область|г. Кострома|Негосударственный головной ВУЗ|156015, г. Кострома, ул. Горького, д. 16|1993 от 14.03.2016 (Бессрочная)|['150106', '170504', '200201', '200201', '290106', '290201', '292300', '293200', '560403', '560404', '560502', '560701', '560701']
48|2215|Федеральное государственное бюджетное образовательное учреждение высшего образования «Сибирский государственный университет водного транспорта»|Новосибирская область|г. Новосибирск|Государственный головной ВУЗ|630099, г. Новосибирск, ул. Щетинкина, д. 33|2197 от 16.06.2016 (Бессрочная)|['050601', '080301', '080401', '080601', '090302', '090402', '130302', '130402', '130601', '200301', '200302', '200402', '200501', '230301', '230303', '260201', '260203', '260205', '260206', '260301', '260302', '260401', '260402', '260505', '260506', '260507', '260601', '380301', '380302']
49|1659|филиал федерального государственного автономного образовательного учреждения высшего образования «Южный федеральный университет» в г. Кизляре Республики Дагестан|Республика Дагестан|г. Кизляр|Негосударственный филиал|368830, Республика Дагестан, г. Кизляр, ул. Красина, д. 42|1901 от 29.01.2016 (Бессрочная)|['040201', '040201', '130304', '130304', '210502', '390301']
50|797|федеральное государственное бюджетное образовательное учреждение высшего образования «Дагестанский государственный аграрный университет имени М.М. Джамбулатова»|Республика Дагестан|г. Махачкала|Негосударственный головной ВУЗ|367032, Республика Дагестан, г. Махачкала, ул. М. Гаджиева, д. 180|1714 от 21.10.2015 (Бессрочная)|['050306', '050601', '060301', '060601', '090204', '090303', '130302', '190302', '190304', '190601', '200201', '200302', '210302', '230203', '230301', '230303', '230403', '350301', '350304', '350305', '350306', '350307', '350308', '350310', '350404', '350405', '350406', '350601', '350604', '360201', '360301', '360302', '360401', '360402', '360501', '360601', '380201', '380301', '380307', '380401', '380601', '430302']
51|9323|Федеральное государственное бюджетное учреждение науки Институт географии Российской академии наук|г. Москва|г. Москва|Негосударственный головной ВУЗ|Российская Федерация, 119017, Москва, Старомонетный пер., д. 29|2704 от 05.04.2012 (Бессрочная)|['050601']
52|10854|Негосударственное образовательное учреждение высшего профессионального образования «Международная академия бизнеса и управления»|г. Москва| г. Москва|Негосударственный головной ВУЗ|5-й проезд Марьиной рощи, д. 15А , г. Москва, 129594|1275 от 16.05.2011 (Бессрочная)|['030501', '030602', '030701', '030912', '031202', '032401', '040200', '070601', '080102', '080105', '080109', '080111', '080114', '080115', '080502']
53|11748|федеральное государственное бюджетное образовательное учреждение среднего профессионального образования «Дальневосточное мореходное училище (техникум)»|Приморский край| г. Находка-3|Государственный головной ВУЗ|Находкинский просп., д. 86, г. Находка-3, Приморский край, 692903|2113 от 08.11.2011 (Бессрочная)|['080110', '111001', '150414', '180406', '190501', '190502', '190701']
54|5734|государственное образовательное учреждение среднего профессионального образования Ивановский энергетический колледж|Ивановская область|г. Иваново|Негосударственный головной ВУЗ|153025, г. Иваново, ул. Ермака, д. 41|1727 от 17.06.2009 (Бессрочная)|['080106', '080302', '080302', '140101', '140102', '140203', '140203', '140206', '140206', '140207', '220302', '230101']
