|id|Название|Регион:|Населённый пункт:|Форма собственности:|Адрес:|Лицензия: №|specialization
0|154|федеральное государственное бюджетное образовательное учреждение высшего образования «Астраханский государственный медицинский университет» Министерства здравоохранения Российской Федерации|Астраханская область|г. Астрахань|Негосударственный головной ВУЗ|414000, Российская Федерация, Астраханская область, г. Астрахань, ул. Бакинская, 121|2408 от 28.09.2016 (Бессрочная)|['300601', '310201', '310202', '310205', '310206', '310501', '310502', '310503', '310601', '310801', '310802', '310803', '310804', '310805', '310807', '310809', '310810', '310811', '310812', '310813', '310814', '310816', '310817', '310818', '310819', '310820', '310821', '310822', '310826', '310828', '310829', '310832', '310835', '310836', '310837', '310839', '310842', '310843', '310844', '310845', '310846', '310848', '310849', '310850', '310851', '310853', '310854', '310855', '310856', '310857', '310858', '310859', '310862', '310863', '310864', '310865', '310866', '310867', '310868', '310869', '310870', '310871', '310873', '310874', '310875', '320201', '320501', '320601', '320802', '320807', '320811', '320812', '320814', '330201', '330501', '340201', '340301', '370501']
1|2661|Ханты-Мансийский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Московский государственный институт культуры»|Ханты-Мансийский автономный округ - Югра| г. Ханты-Мансийск|Негосударственный филиал|628012, Ханты-Мансийский автономный округ - Югра, Тюменская область, г. Ханты-Мансийск, ул. Гагарина, д. 10|1201 от 24.12.2014 (Бессрочная)|['071301', '071301', '071301']
2|1468|Федеральное государственное бюджетное образовательное учреждение высшего образования «Омский государственный педагогический университет»|Омская область|г. Омск|Государственный головной ВУЗ|644099, г. Омск, Набережная Тухачевского, д. 14|1724 от 28.10.2015 (Бессрочная)|['050601', '060301', '060601', '090303', '370302', '370402', '370601', '380204', '380207', '380302', '380303', '380304', '380402', '380404', '380601', '390302', '390402', '410601', '420301', '430210', '430302', '440301', '440302', '440303', '440304', '440305', '440401', '440402', '440403', '440404', '440601', '450601', '460601', '470301', '470401', '470601', '510402', '540301', '540302', '540401', '540402', '540501']
3|7147|Федеральное государственное бюджетное учреждение науки Институт истории Сибирского отделения Российской академии наук|Новосибирская область| г. Новосибирск|Негосударственный головной ВУЗ|630090, г. Новосибирск, ул. Николаева, д. 8|2639 от 22.03.2012 (Бессрочная)|['460601']
4|2473|Ставропольский филиал федерального государственного бюджетного образовательного учреждения высшего профессионального образования «Московский государственный гуманитарный университет имени М.А. Шолохова»|Ставропольский край| г. Ставрополь|Государственный филиал|ул. Шпаковская, д. 85, г. Ставрополь, Ставропольский край, 355037|2452 от 02.02.2012 (Бессрочная)|['030501', '031601', '050102', '050103', '050104', '050303', '050502', '050703', '050706', '050708', '070601', '080504', '080504', '080801', '230401']
5|11968|Федеральное государственное бюджетное учреждение науки «Федеральный исследовательский центр «Субтропический научный центр Российской академии наук»|Краснодарский край|г. Сочи|Государственный головной ВУЗ|354002, Краснодарский край, г. Сочи, ул. Яна Фабрициуса, д. 2/28|2925 от 10.09.2020 (Бессрочная)|['060601', '350601', '380601']
6|2739|федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный университет»|Алтайский край|г. Барнаул|Негосударственный головной ВУЗ|656049, Алтайский край, г. Барнаул, просп. Ленина, д. 61|2296 от 29.07.2016 (Бессрочная)|['010302', '010402', '020301', '020302', '020401', '030302', '030303', '030402', '030403', '030601', '040301', '040401', '040501', '040601', '050302', '050306', '050402', '050406', '050601', '060301', '060401', '060601', '090203', '090204', '090301', '090303', '090401', '090403', '090601', '100301', '100401', '110402', '180301', '180401', '190301', '200201', '200301', '200401', '210302', '210402', '270302', '270303', '330501', '350212', '350310', '370301', '370302', '370401', '370501', '370502', '370601', '380201', '380207', '380301', '380302', '380303', '380304', '380305', '380306', '380401', '380402', '380403', '380404', '380406', '380408', '380501', '380601', '390301', '390302', '390303', '390401', '390402', '390601', '400201', '400301', '400401', '400504', '400601', '410301', '410302', '410304', '410305', '410401', '410402', '410404', '410405', '410601', '420301', '420302', '420305', '420401', '420402', '430210', '430211', '430301', '430302', '430303', '430401', '430402', '440304', '440401', '440404', '440501', '440601', '450301', '450302', '450401', '450601', '460201', '460301', '460302', '460303', '460401', '460402', '460601', '470301', '470303', '470401', '470403', '470601', '500303', '500403', '500601', '510301', '510304', '510404', '510601', '530302', '540201', '540302', '540303', '540403']
7|1683|Частное образовательное учреждение высшего образования «ИНСТИТУТ ДРУЖБЫ НАРОДОВ КАВКАЗА»|Ставропольский край|г. Ставрополь|Негосударственный головной ВУЗ|355008, Российская Федерация, Ставропольский край, г. Ставрополь, пр. К. Маркса, 7|1673 от 30.09.2015 (Бессрочная)|['090303', '370301', '370301', '370401', '370401', '370502', '370601', '370601', '380301', '380301', '380302', '380302', '380303', '380303', '380305', '380305', '380401', '380401', '380402', '380402', '380403', '380403', '380404', '380404', '380601', '380601', '400301', '400301', '400401', '410305', '410305', '410405', '420301', '420301', '420302', '420302', '420401', '430301', '430302', '450302', '480301', '480301']
8|775|Федеральное государственное бюджетное образовательное учреждение высшего образования «Великолукская государственная академия физической культуры и спорта»|Псковская область|г. Великие Луки|Государственный головной ВУЗ|182105, Псковская область, г. Великие Луки, пл. Юбилейная, д. 4|2115 от 26.04.2016 (Бессрочная)|['060601', '380302', '430301', '440301', '440302', '490301', '490302', '490401', '490402', '490403', '490601']
9|2740|филиал федерального государственного бюджетного образовательного учреждения высшего образования «Алтайский государственный университет» в г. Белокурихе|Алтайский край|г. Белокуриха|Негосударственный филиал|659900, Алтайский край, г. Белокуриха, ул. Академика Мясникова, д. 26|2296 от 29.07.2016 (Бессрочная)|['380201', '380302', '430303']
10|1006|федеральное государственное казенное образовательное учреждение высшего образования «Голицынский пограничный институт Федеральной службы безопасности Российской Федерации» (филиал в г. Ставрополе)|Ставропольский край|лес «Татарский», военный городок №122|Негосударственный филиал|Российская Федерация, 355024, Ставропольский край, Шпаковский район, лес «Татарский», военный городок №122|1598 от 17.08.2015 (Бессрочная)|['100204', '110209', '110209', '570201', '570201']
11|7801|Федеральное государственное бюджетное учреждение науки Институт аналитического приборостроения Российской академии наук|г. Санкт-Петербург|г. Санкт-Петербург|Негосударственный головной ВУЗ|Российская Федерация, 190103, г. Санкт-Петербург, Рижский проспект, дом 26|0171 от 17.07.2012 (Бессрочная)|['030601']
12|767|федеральное государственное бюджетное образовательное учреждение высшего образования «Астраханский государственный университет»|Астраханская область|г. Астрахань|Негосударственный головной ВУЗ|414056, Астраханская область, г. Астрахань, ул. Татищева, д. 20а|1893 от 21.01.2016 (Бессрочная)|['010301', '010302', '010302', '010402', '010402', '020601', '030302', '030302', '030402', '030402', '030601', '030601', '040301', '040301', '040401', '040401', '040501', '040501', '040601', '040601', '050301', '050301', '050302', '050302', '050303', '050303', '050306', '050306', '050401', '050402', '050406', '050601', '050601', '060301', '060301', '060302', '060302', '060401', '060401', '060402', '060402', '060601', '060601', '070301', '070301', '080208', '080208', '080209', '080209', '090301', '090301', '090302', '090302', '090303', '090402', '090402', '100301', '100301', '110304', '110304', '110404', '110404', '120304', '120404', '120404', '130302', '130302', '150201', '150301', '150301', '150306', '150306', '190206', '190207', '190208', '190210', '190210', '200301', '200301', '200302', '200302', '200401', '200601', '200601', '210302', '210302', '220206', '220206', '220301', '220301', '220401', '220401', '230203', '230203', '230205', '230205', '270302', '270601', '270601', '330201', '330201', '350208', '350208', '350304', '350304', '350306', '350306', '350307', '350307', '350404', '350404', '350406', '350406', '350601', '350601', '350603', '350603', '360201', '360201', '360302', '360302', '360402', '360402', '360501', '360501', '360601', '360601', '370301', '370301', '370302', '370302', '370401', '370401', '370601', '370601', '380201', '380201', '380204', '380207', '380207', '380301', '380301', '380302', '380302', '380303', '380303', '380304', '380304', '380305', '380306', '380401', '380401', '380402', '380402', '380403', '380403', '380404', '380404', '380408', '380408', '380409', '380501', '380501', '380601', '380601', '380601', '390301', '390301', '390302', '390302', '390303', '390303', '390401', '390401', '390402', '390402', '390403', '390601', '390601', '400201', '400201', '400301', '400301', '400401', '400401', '400601', '400601', '410301', '410301', '410304', '410304', '410305', '410305', '410404', '410404', '410601', '410601', '420301', '420301', '420302', '420302', '420401', '420401', '420402', '420402', '430211', '430211', '430302', '430302', '430303', '430303', '440301', '440301', '440302', '440302', '440303', '440303', '440305', '440305', '440401', '440401', '440402', '440402', '440403', '440601', '440601', '450301', '450301', '450302', '450302', '450402', '450402', '450501', '450501', '450601', '450601', '460301', '460302', '460302', '460401', '460401', '460601', '460601', '470301', '470401', '470401', '470601', '470601', '480401', '490301', '490301', '490302', '490402', '490402', '510301', '510303', '510303', '510401', '510401', '510601', '510601', '540301', '540301']
13|701|Улан-Удэнский колледж железнодорожного транспорта - филиал Федерального государственного бюджетного образовательного учреждения высшего образования «Иркутский государственный университет путей сообщения»|Республика Бурятия|г. Улан-Удэ|Негосударственный филиал|670034, Республика Бурятия, город Улан-Удэ, проспект 50-летия Октября, дом 58|2167 от 26.05.2016 (Бессрочная)|['080210', '080210', '110206', '110206', '130207', '130207', '220206', '220206', '230201', '230201', '230206', '230206', '230503', '270203', '270203', '380201', '380201', '430206', '430206']
14|9987|Московский научно-исследовательский онкологический институт имени П.А. Герцена – филиал федерального государственного бюджетного учреждения «Национальный медицинский исследовательский центр радиологии» Министерства здравоохранения Российской Федерации|г. Москва|г. Москва|Негосударственный филиал|125284, Российская Федерация, г. Москва, 2-ой Боткинский проезд, дом 3|2673 от 03.11.2017 (Бессрочная)|['310601', '310802', '310807', '310808', '310811', '310857', '310861']
15|978|федеральное государственное казенное военное образовательное учреждение высшего образования «Военный учебно-научный центр Военно-воздушных сил «Военно-воздушная академия имени профессора Н.Е. Жуковского и Ю.А. Гагарина» (г. Воронеж) Министерства обороны Российской Федерации|Воронежская область|г. Воронеж|Государственный головной ВУЗ|394064, г. Воронеж, ул. Старых Большевиков, д. 54 а|1765 от 12.11.2015 (Бессрочная)|['050501', '080502', '100503', '110501', '110502', '110503', '130501', '140504', '160501', '230502', '240505', '250501', '250502', '250503']
16|1789|федеральное государственное бюджетное образовательное учреждение инклюзивного высшего образования «Московский государственный гуманитарно-экономический университет»|г. Москва|г. Москва|Негосударственный головной ВУЗ|107150, г. Москва, ул. Лосиноостровская, д. 49|1147 от 24.11.2014 (Бессрочная)|['010302', '010302', '010402', '010501', '030501', '030900', '030900', '030901', '031202', '035000', '040100', '050100', '080100', '080100', '080104', '080109', '080507', '080801', '090301', '090303', '090303', '090403', '370301', '370401', '380301', '380302', '380306', '380401', '380402', '380601', '380601', '390301', '390302', '390401', '390401', '390402', '390601', '390601', '400301', '400301', '400401', '400401', '400601', '400601', '410404', '420302', '420303', '420303', '420402', '420403', '440301', '440302', '440403', '450302', '450302', '450402', '450501']
17|5202|Евпаторийский институт социальных наук (филиал) федерального государственного автономного образовательного учреждения высшего образования «Крымский федеральный университет имени В.И. Вернадского»|Республика Крым| г. Евпатория|Негосударственный филиал|297408, Республика Крым, г. Евпатория, ул. Просмушкиных, 6|1260 от 06.02.2015 (Бессрочная)|['440301', '440301', '440302', '440302', '440401', '440401', '440402', '440402', '450301', '450301', '450401', '450401', '460301', '460301', '460401', '460401']
18|10384|Акционерное общество «НПО «Орион»|г. Москва|г. Москва|Негосударственный головной ВУЗ|Российская Федерация, 111538, г. Москва, ул. Косинская, д. 9|1607 от 20.08.2015 (Бессрочная)|['110601', '120601']
19|22|Учреждение высшего образования «Университет управления «ТИСБИ»|Республика Татарстан (Татарстан)|г. Казань|Негосударственный головной ВУЗ|420012, Республика Татарстан, г. Казань, ул. Муштари, д. 13|2168 от 31.05.2016 (Бессрочная)|['090203', '090301', '090301', '090302', '090303', '090303', '090304', '090304', '380201', '380203', '380206', '380301', '380301', '380302', '380302', '021100', '021100', '021100', '021100', '021200', '021200', '021200', '030500', '030500', '030500', '030500', '030501', '030501', '030501', '030501', '030503', '030503', '030503', '030503', '030504', '030700', '030700', '030700', '030700', '030701', '030701', '030701', '030701', '030900', '030912', '050400', '060400', '060400', '060400', '060400', '061100', '061100', '061100', '061100', '061100', '061100', '061100', '062100', '080100', '080105', '080105', '080105', '080105', '080105', '080107', '080107', '080107', '080107', '080107', '080109', '080109', '080109', '080109', '080109', '080109', '080114', '080200', '080200', '080214', '080300', '080400', '080500', '080500', '080500', '080500', '080500', '080501', '080501', '080501', '080501', '080501', '080505', '080505', '080507', '080507', '080507', '080507', '080507', '080801', '080801', '080801', '080801', '080801', '080801', '090203', '090301', '090301', '090302', '090303', '090303', '090304', '090304', '100103', '230100', '230100', '230100', '230100', '230100', '230105', '230105', '350200', '350200', '350200', '351200', '351200', '380201', '380203', '380206', '380301', '380301', '380302', '380302', '380303', '380303', '380304', '380305', '380401', '380401', '380402', '380402', '380403', '380403', '380405', '380405', '380408', '380408', '380501', '380501', '380601', '380601', '390303', '390303', '400201', '400301', '400301', '400401', '400401', '400601', '400601', '410305', '410305', '430211', '430211', '430301', '430301', '430302', '430303', '430303', '440301', '440302', '440302', '440302', '521400', '521500', '521500', '521500', '521500', '521500', '521500', '521500', '521500', '521600', '521600', '521600', '521600', '521600']
20|1360|Нижнетагильский филиал Образовательного частного учреждения высшего образования «Международный юридический институт»|Свердловская область|г. Нижний Тагил|Негосударственный филиал|622049, Свердловская область, г. Нижний Тагил, Черноисточинское шоссе, д. 70|1369 от 06.04.2015 (Бессрочная)|['030500', '030501', '030501', '030501', '030501', '030900', '400301']
21|1013|федеральное государственное казенное образовательное учреждение высшего образования «Калининградский пограничный институт Федеральной службы безопасности Российской Федерации»|Калининградская область|г. Калининград|Государственный головной ВУЗ|236034, город Калининград, улица Подполковника Емельянова, дом 244|1945 от 19.02.2016 (Бессрочная)|['090202', '090501', '110202', '110502', '400501', '570201', '570501', '570701']
22|10045|федеральное государственное унитарное предприятие «Государственный научно-исследовательский институт авиационных систем»|г. Москва|г. Москва|Негосударственный головной ВУЗ|125319, г. Москва, ул. Викторенко, дом 7|0670 от 26.03.2013 (Бессрочная)|['240601', '270601', '560601']
