|id|Название|Регион:|Населённый пункт:|Форма собственности:|Адрес:|Лицензия: №|specialization
0|11760|Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр химической физики им. Н.Н. Семенова Российской академии наук|г. Москва|г. Москва|Государственный головной ВУЗ|Российская Федерация, 119991, г. Москва, ул. Косыгина, 4|2832 от 11.06.2019 (Бессрочная)|['030601', '040601']
1|1751|Уральский институт социального образования (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Российский государственный социальный университет» в г. Екатеринбурге|Свердловская область|г. Екатеринбург|Негосударственный филиал|620039, г. Екатеринбург, ул. Донбасская, д. 8|2017 от 21.03.2016 (Бессрочная)|['040101', '040101', '080109']
2|2648|Рубцовский индустриальный институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Алтайский государственный технический университет им. И.И. Ползунова»|Алтайский край|г. Рубцовск|Негосударственный филиал|658207, Алтайский край, г. Рубцовск, ул. Тракторная, д. 2/6|1921 от 08.02.2016 (Бессрочная)|['080301', '090301', '130302', '150301', '150302', '150305', '230302', '230303', '230501', '380201', '380301', '380302', '440301']
3|8927|Федеральное государственное бюджетное научное учреждение «Научно-исследовательский институт фундаментальной и клинической иммунологии»|Новосибирская область|г. Новосибирск|Государственный головной ВУЗ|630099, г. Новосибирск, ул. Ядринцевская, д. 14|1135 от 21.11.2014 (Бессрочная)|['300601', '310826']
4|9583|федеральное государственное бюджетное образовательное учреждение среднего профессионального образования «Белогорский технологический техникум пищевой промышленности»|Амурская область| г. Белгорск|Государственный головной ВУЗ|ул. 9 Мая, 212а, г. Белгорск, Амурская область, 676856|2308 от 12.12.2011 (Бессрочная)|['030503', '030503', '030504', '080110', '080302', '110306', '150411', '260202', '260303']
5|2460|Политехнический институт (филиал) федерального государственного автономного образовательного учреждения высшего образования «Северо-Восточный федеральный университет имени М.К. Аммосова» в г. Мирном|Республика Саха (Якутия)|г. Мирный|Негосударственный филиал|678170, Республика Саха (Якутия), г. Мирный, ул. Тихонова, д. 5, корп. 1|2411 от 29.09.2016 (Бессрочная)|['010301', '010302', '010302', '010501', '020303', '130302', '210301', '210301', '210502', '210504', '210504', '380301', '400501', '400502', '440305', '450301', '450301']
6|2154|федеральное государственное бюджетное образовательное учреждение высшего образования «Сибирский государственный университет науки и технологий имени академика М.Ф. Решетнева»|Красноярский край|г. Красноярск|Государственный головной ВУЗ|660037, Красноярский край, г. Красноярск, проспект им. газеты «Красноярский рабочий», д. 31|2595 от 29.05.2017 (Бессрочная)|['010304', '010601', '030302', '030402', '030601', '040601', '050601', '060601', '090202', '090203', '090204', '090301', '090302', '090303', '090304', '090401', '090402', '090403', '090404', '090601', '100203', '100204', '100301', '100401', '100502', '100601', '110301', '110302', '110402', '110404', '130211', '130303', '130403', '130601', '150204', '150208', '150210', '150301', '150302', '150304', '150305', '150306', '150401', '150402', '150405', '150601', '160303', '160403', '180301', '180302', '180401', '180501', '180601', '190301', '190401', '200301', '200302', '210203', '210303', '220206', '220301', '230302', '240301', '240302', '240305', '240401', '240402', '240405', '240501', '240502', '240506', '240601', '250207', '250301', '250302', '250401', '250402', '250601', '270206', '270301', '270302', '270303', '270304', '270305', '270401', '270402', '270403', '270406', '350301', '350302', '350310', '350401', '350402', '350409', '350602', '350604', '370601', '380201', '380301', '380302', '380303', '380401', '380402', '380403', '380404', '380408', '380502', '380601', '390302', '420301', '420401', '440301', '440304', '440601', '450302']
7|4001|Открытый институт (филиал) федерального государственного бюджетного образовательного учреждения высшего профессионального образования Самарский государственный архитектурно-строительный университет» в г. Похвистнево»|Самарская область| г. Похвистнево|Государственный филиал|ул. Кооперативная, д. 148а, г. Похвистнево, Самарская область, 446453|2329 от 20.12.2011 (Бессрочная)|['080502', '270105']
8|1154|Ханты-Мансийский филиал негосударственного образовательного частного учреждения высшего образования «Уральский институт коммерции и права»|Ханты-Мансийский автономный округ - Югра|г. Ханты-Мансийск|Негосударственный филиал|628007, г. Ханты-Мансийск, ул. Мира, д. 51|1062 от 24.07.2014 (Бессрочная)|['030500', '030500', '030501', '030501', '030501', '030900']
9|727|федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный гуманитарно-педагогический университет имени В.М. Шукшина»|Алтайский край|г. Бийск|Государственный головной ВУЗ|659333, Алтайский край, г. Бийск, ул. Владимира Короленко, д. 53|1948 от 19.02.2016 (Бессрочная)|['060301', '060301', '210302', '210302', '370301', '370301', '380302', '380302', '390302', '390302', '430302', '430302', '440301', '440301', '440302', '440302', '440304', '440304', '440305', '440305', '440401', '440401', '440601', '440601', '450601', '450601', '460601', '460601', '540301', '540301', '540302', '540302']
