|id|Название|Регион:|Населённый пункт:|Форма собственности:|Адрес:|Лицензия: №|specialization
10|1112|Частное учреждение высшего образования «Экономико-правовой институт»|г. Москва|г. Москва|Негосударственный головной ВУЗ|127322, г. Москва, ул. Милашенкова, д. 11а|1595 от 13.08.2015 (Бессрочная)|['400301']
11|2193|федеральное государственное бюджетное образовательное учреждение высшего образования «Томский государственный архитектурно-строительный университет»|Томская область|г. Томск|Государственный головной ВУЗ|634003, Томская область, г. Томск, пл. Соляная, д. 2|1879 от 18.01.2016 (Бессрочная)|['050201', '070301', '070302', '070303', '070401', '070402', '070403', '070601', '080301', '080401', '080501', '080601', '090303', '200301', '200401', '210204', '210205', '210206', '210208', '210302', '210402', '230302', '230303', '230403', '230501', '380310', '430301']
12|837|федеральное государственное бюджетное образовательное учреждение высшего образования «Курский государственный университет»|Курская область|г. Курск|Негосударственный головной ВУЗ|305000, г. Курск, ул. Радищева, д. 33|2160 от 26.05.2016 (Бессрочная)|['010302', '010402', '010601', '020303', '030601', '040301', '040401', '040501', '040601', '050302', '050304', '050306', '050402', '050406', '050601', '060301', '060401', '060601', '070301', '080301', '080401', '090205', '090301', '090601', '100301', '110304', '180301', '190210', '200301', '370301', '370401', '370601', '380201', '380204', '380205', '380301', '380302', '380303', '380304', '380305', '380306', '380401', '380402', '380403', '380404', '380405', '380408', '380502', '380601', '390301', '390302', '390402', '400201', '400301', '400401', '400601', '410305', '410405', '420301', '420302', '420402', '430201', '430211', '430301', '430302', '430303', '430402', '430403', '440301', '440302', '440303', '440304', '440305', '440401', '440402', '440403', '440404', '440601', '450301', '450302', '450402', '450601', '460301', '460401', '460601', '470301', '470401', '470601', '480301', '480401', '490302', '490401', '510401', '530305', '540301', '540303', '540401', '540502']
13|1802|Елецкий филиал Автономной некоммерческой организации высшего образования «Российский новый университет»|Липецкая область| г. Елец|Негосударственный филиал|399780, Липецкая область, г. Елец, ул. Ломоносова, д. 13|2120 от 28.04.2016 (Бессрочная)|['090303', '090303', '380201', '380201', '380301', '380301', '400201', '400201', '400301', '400301', '430211', '430211', '430302', '430302', '440302']
14|322|Негосударственное образовательное учреждение (образовательная организация высшего образования) Сибирский независимый институт|Новосибирская область|г. Новосибирск|Негосударственный головной ВУЗ|630082, г. Новосибирск, ул. Северная, 23/1|1484 от 09.06.2015 (Бессрочная)|['370301', '380301', '380302', '380401', '380402', '450302', '450501']
15|8417|Федеральное государственное образовательное учреждение среднего профессионального образования «Ростовский торгово-экономический колледж»|Ростовская область| г. Ростов-на-Дону|Государственный головной ВУЗ|ул. А. Сладкова, д. 85, г. Ростов-на-Дону, Ростовская область, 344090|1418 от 23.06.2011 (Бессрочная)|['030503', '030503', '030503', '030503', '030504', '030504', '030504', '030504', '080110', '080110', '080110', '080110', '080112', '080302']
16|10899|Федеральное государственное бюджетное учреждение науки Институт проблем химико-энергетических технологий Сибирского отделения Российской академии наук|Алтайский край| г. Бийск|Негосударственный головной ВУЗ|659322, Алтайский край, г. Бийск, ул. Социалистическая, д. 1|2596 от 19.03.2012 (Бессрочная)|['040601', '120601', '160601', '180601']
17|92|Автономная некоммерческая организация высшего образования «Московский региональный социально-экономический институт»|Московская область|г. Видное|Негосударственный головной ВУЗ|142703, Московская область, г. Видное, ул. Школьная, д. 55а, корп. 1|1677 от 05.10.2015 (Бессрочная)|['370301', '380201', '380204', '380301', '380302', '380304', '380501', '400201', '400301', '430211', '440302', '440501', '540201', '540301']
18|9165|федеральное государственное образовательное учреждение среднего профессионального образования «Нижнекамский нефтехимический колледж»|Республика Татарстан (Татарстан)| г. Нижнекамск|Государственный головной ВУЗ|просп. Химиков, д. 45, г. Нижнекамск, Республика Татарстан (Татарстан), 423570|1178 от 13.04.2009 (Бессрочная)|['030503', '080110', '140613', '150411', '220301', '230103', '240401', '240401', '240404', '240503']
19|11612|федеральное государственное образовательное учреждение среднего профессионального образования «Салаватский индустриальный колледж»|Республика Башкортостан|г. Салават|Государственный головной ВУЗ|ул. Матросова, д. 27, г. Салават, Республика Башкортостан, 453261|1305 от 23.05.2011 (Бессрочная)|['030503', '080110', '080110', '140102', '140613', '140613', '150411', '151001', '190604', '220301', '230105', '230106', '240404', '240404']
20|818|федеральное государственное бюджетное образовательное учреждение высшего образования «Казанский государственный институт культуры»|Республика Татарстан (Татарстан)|г. Казань|Государственный головной ВУЗ|420059, Республика Татарстан, г. Казань, Оренбургский тракт, д. 3|1800 от 03.12.2015 (Бессрочная)|['380302', '420601', '430302', '430402', '440301', '440601', '460302', '500301', '500304', '500601', '510301', '510302', '510303', '510304', '510305', '510306', '510401', '510402', '510403', '510405', '510406', '510501', '510601', '520301', '520403', '520501', '520502', '520902', '520903', '520905', '530301', '530302', '530304', '530305', '530402', '530403', '530406', '530902', '540301', '540302', '540401', '540501', '540502', '550501', '550502', '550503', '550504']
21|2510|Ярославский филиал государственного автономного образовательного учреждения высшего образования Ленинградской области «Ленинградский государственный университет имени А.С. Пушкина»|Ярославская область|г. Ярославль|Государственный филиал|150014, г. Ярославль, ул. Чайковского, д. 9|2387 от 15.09.2016 (Бессрочная)|['380301', '380302', '380304']
22|2322|филиал федерального государственного бюджетного образовательного учреждения высшего образования «Тверской государственный технический университет» в г. Торжке Тверской области|Тверская область|г. Торжок|Негосударственный филиал|172009, Тверская область, г. Торжок, Ленинградское шоссе, д. 44|1889 от 21.01.2016 (Бессрочная)|['230303']
23|10472|федеральное государственное автономное учреждение «Национальный медицинский исследовательский центр нейрохирургии имени академика Н.Н. Бурденко» Министерства здравоохранения Российской Федерации|г. Москва|г. Москва|Государственный головной ВУЗ|125047, г. Москва, ул. 4-ая Тверская-Ямская, д. 16|2645 от 27.09.2017 (Бессрочная)|['310601', '310802', '310808', '310809', '310812', '310856', '310858']
24|8393|Федеральное государственное бюджетное учреждение науки Институт вычислительной математики им. Г.И. Марчука Российской академии наук|г. Москва|г. Москва|Негосударственный головной ВУЗ|Российская Федерация, 119333, г. Москва, улица Губкина, дом 8|2754 от 03.07.2018 (Бессрочная)|['020601']
25|2679|Рязанский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Высшая школа народных искусств (академия)»|Рязанская область||Негосударственный филиал|390046, Рязань, ул. Есенина, д. 112|2723 от 02.03.2018 (Бессрочная)|['540202']
26|485|Автономная некоммерческая организация высшего образования «Санкт-Петербургская юридическая академия»|г. Санкт-Петербург||Негосударственный головной ВУЗ|192012, Санкт-Петербург, проспект Обуховской обороны, дом 114, лит. А|2394 от 20.09.2016 (Бессрочная)|['400301']
27|417|Негосударственное образовательное учреждение высшего профессионального образования «Кировский институт иностранных языков»|Кировская область|г. Киров|Негосударственный головной ВУЗ|610027, Кировская область, г. Киров, ул. Карла Маркса, д. 115|1538 от 07.07.2011 (Бессрочная)|['031202']
28|12271|Федеральное государственное унитарное предприятие «Крыловский государственный научный центр»|г. Санкт-Петербург||Негосударственный головной ВУЗ|Россия, 196158, Санкт-Петербург, Московское шоссе, д. 44|0486 от 21.12.2012 (Бессрочная)|['260601']
29|2794|Тобольский индустриальный институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Тюменский индустриальный университет»|Тюменская область|г. Тобольск|Негосударственный филиал|626158, Тюменская область, г. Тобольск, зона ВУЗов, №5|2134 от 13.05.2016 (Бессрочная)|['130105', '130105', '130110', '130110', '130301', '130301', '130302', '130302', '150105', '150105', '150120', '150120', '150121', '150121', '150130', '150130', '150304', '180105', '180105', '180107', '180107', '180116', '180116', '180118', '180118', '180126', '180126', '180127', '180127', '180132', '180132', '180301', '180301', '180302', '180302', '230301', '230303', '230303', '380301', '380302']
30|924|федеральное государственное бюджетное образовательное учреждение высшего образования «Сыктывкарский государственный университет имени Питирима Сорокина»|Республика Коми|г. Сыктывкар|Государственный головной ВУЗ|167001, Республика Коми, г. Сыктывкар, Октябрьский проспект, д. 55|1415 от 29.04.2015 (Бессрочная)|['010301', '010302', '010302', '010200', '010400', '010801', '011200', '011800', '020301', '020301', '020301', '020401', '020401', '020100', '020100', '020400', '020400', '020801', '022000', '022000', '030302', '030302', '030303', '030303', '030402', '030402', '030403', '030601', '030601', '030300', '030600', '030600', '030602', '030701', '030900', '031201', '031300', '031600', '031900', '032700', '033000', '040301', '040301', '040401', '040401', '040601', '040601', '040101', '040400', '050301', '050301', '050301', '050303', '050303', '050306', '050306', '050401', '050406', '050406', '050100', '050100', '050102', '050103', '050104', '050201', '050202', '050203', '050302', '050400', '050403', '050500', '050700', '050703', '050706', '050708', '050715', '051000', '060301', '060301', '060401', '060401', '060601', '060601', '070601', '071301', '071500', '072500', '080100', '080100', '080200', '080801', '090202', '090202', '090203', '090203', '090206', '090207', '090303', '090303', '090403', '090403', '090601', '090601', '090104', '090900', '100205', '100301', '100301', '100103', '100400', '190401', '190401', '200301', '200301', '200401', '200401', '230700', '270405', '280103', '280700', '310501', '310501', '310502', '320401', '370301', '370301', '370601', '370601', '380201', '380201', '380201', '380301', '380301', '380302', '380302', '380307', '380401', '380401', '380402', '380402', '380405', '380408', '380408', '380601', '380601', '390301', '390302', '390302', '390401', '390401', '400201', '400201', '400301', '400301', '400401', '400401', '400501', '400601', '400601', '410301', '410304', '410305', '410305', '410306', '410306', '410401', '410404', '410404', '410601', '410601', '420301', '420301', '420302', '420302', '420303', '430301', '430302', '430302', '440201', '440202', '440301', '440301', '440302', '440302', '440303', '440303', '440304', '440304', '440305', '440305', '440401', '440401', '440402', '440402', '440404', '440404', '440601', '440601', '450301', '450301', '450301', '450302', '450401', '450401', '450402', '450601', '450601', '460301', '460301', '460302', '460401', '460401', '460402', '460402', '460601', '460601', '470303', '470303', '490201', '490301', '490301', '490301', '500401', '510301', '510301', '510302', '510302', '510304', '510306', '510306', '510401', '510401', '510601', '510601', '540202', '540301', '540301', '540302', '540302', '540401', '540401', '540503', '550501']
31|825|федеральное государственное бюджетное образовательное учреждение высшего образования «Кузбасская государственная сельскохозяйственная академия»|Кемеровская область|г. Кемерово|Государственный головной ВУЗ|650056, Кемеровская область, г. Кемерово, ул. Марковцева, 5|2838 от 04.07.2019 (Бессрочная)|['060601', '190601', '200302', '230501', '350205', '350207', '350304', '350306', '350307', '350310', '350404', '350601', '350604', '360202', '360301', '360302', '360402', '360601', '380201', '380302', '440301']
32|10480|Федеральное государственное образовательное учреждение среднего профессионального образования Прокопьевский горнотехнический колледж им. В.П. Романова|Кемеровская область|г. Прокопьевск|Государственный головной ВУЗ|653045, Кемеровская область, г. Прокопьевск, ул. Шишкина, д. 26|1785 от 24.03.2009 (Бессрочная)|['030503', '032002', '080108', '080110', '080501', '130402', '130403', '130404', '130405', '140102', '140613', '151001', '190604', '230105']
33|1011|федеральное государственное казенное образовательное учреждение высшего образования «Институт Федеральной службы безопасности Российской Федерации (г. Екатеринбург)»|Свердловская область|г. Екатеринбург|Негосударственный головной ВУЗ|620082, город Екатеринбург, Сибирский тракт, 11 километр|2249 от 04.07.2016 (Бессрочная)|['100401', '110402']
34|10133|Федеральное государственное бюджетное учреждение науки Институт физики высоких давлений им.Л.Ф.Верещагина Российской академии наук|г. Москва|г. Москва|Негосударственный головной ВУЗ|Российская Федерация, 142190, г. Москва, г.Троицк, Калужское шоссе, стр.14|0784 от 10.07.2013 (Бессрочная)|['030601']
35|10009|Федеральное государственное бюджетное научное учреждение «Иркутский научный центр хирургии и травматологии»|Иркутская область|г. Иркутск|Негосударственный головной ВУЗ|РФ, 664003, г. Иркутск, ул. Борцов Революции, д. 1|1391 от 20.04.2015 (Бессрочная)|['310601', '310866', '310867']
36|2227|Бурятский филиал Образовательного учреждения профсоюзов высшего образования «Академия труда и социальных отношений»|Республика Бурятия|г. Улан-Удэ|Негосударственный филиал|670000, Республика Бурятия, г. Улан-Удэ, ул. Воровского, д. 25|1885 от 14.01.2016 (Бессрочная)|['021100', '021100', '030500', '030500', '030500', '030501', '030501', '030501', '060500', '060500', '080100', '080100', '080100', '080104', '080104', '080104', '080105', '080105', '080105', '080109', '080109', '080109', '080505', '380301', '380303', '400301']
37|5818|Автономная некоммерческая организация высшего образования «Институт непрерывного образования»|г. Москва| г. Москва|Негосударственный головной ВУЗ|109542, г. Москва, Рязанский проспект, д. 86/1|2004 от 16.03.2016 (Бессрочная)|['380302', '420301', '430301']
38|6674|Федеральное государственное бюджетное научное учреждение «Научно-исследовательский институт пушного звероводства и кролиководства имени В.А. Афанасьева»|Московская область|пос. Родники, г/п Родники|Негосударственный головной ВУЗ|140143, Московская область, Раменский район, г/п Родники, ул. Трудовая, дом 6|1531 от 30.06.2015 (Бессрочная)|['360601']
39|10960|Федеральное государственное бюджетное учреждение науки Институт иммунологии и физиологии Уральского отделения Российской академии наук|Свердловская область|г. Екатеринбург|Негосударственный головной ВУЗ|Российская Федерация, 620049, г. Екатеринбург, ул. Первомайская, 106|0099 от 29.05.2012 (Бессрочная)|['060601', '300601']
40|2254|филиал федерального государственного бюджетного образовательного учреждения высшего образования «Дагестанский государственный технический университет» в г. Кизляре|Республика Дагестан|г. Кизляр|Негосударственный филиал|368870, Республика Дагестан, г. Кизляр, ул. Ленина, д. 6|1623 от 27.08.2015 (Бессрочная)|['080100', '150305', '150305', '151900', '190702', '230301', '230301', '230303', '230504', '380301', '380301', '380302']
41|7622|федеральное государственное бюджетное учреждение «Национальный медицинский исследовательский центр кардиологии» Министерства здравоохранения Российской Федерации|г. Москва|г. Москва|Негосударственный головной ВУЗ|121552, Российская Федерация, г. Москва, ул. 3-я Черепковская, д. 15-а|2651 от 04.10.2017 (Бессрочная)|['310802', '310808', '310809', '310811', '310812', '310836', '310862', '310863']
42|6725|Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Новочеркасская государственная мелиоративная академия»|Ростовская область| г. Новочеркасск|Государственный головной ВУЗ|ул. Пушкинская, д. 111, Ростовская обл., г. Новочеркасск, 346428|2186 от 21.11.2011 (Бессрочная)|['040100', '040101', '051700', '052000']
43|296|Негосударственная автономная некоммерческая организация высшего образования «Институт мировых цивилизаций»|г. Москва|г. Москва|Негосударственный головной ВУЗ|107078, г. Москва, 1-й Басманный переулок, дом 3, строение 1|1662 от 22.09.2015 (Бессрочная)|['370301', '370401', '370601', '380301', '380302', '380305', '380404', '380601', '400301', '400401', '410301', '410304', '410401', '410601', '420301', '420402', '450302', '450402', '540301', '540401']
44|598|Образовательная автономная некоммерческая организация высшего образования «Институт мировой экономики и финансов»|Астраханская область|г. Астрахань|Негосударственный головной ВУЗ|414000, г. Астрахань, ул.Бакинская, дом 149|2862 от 17.10.2019 (Бессрочная)|['380301', '380302']
45|357|Частное образовательное учреждение высшего образования «Восточно-Сибирский институт экономики и права»|Иркутская область|г. Иркутск|Негосударственный головной ВУЗ|664050, Иркутская область, г. Иркутск, ул. Байкальская, д. 258 «А»|2064 от 07.04.2016 (Бессрочная)|['030500', '030501', '030900', '080100', '080100', '080105', '080109', '080200', '080500', '080507', '100103']
46|2096|Негосударственное образовательное учреждение высшего профессионального образования «Московский институт предпринимательства и права» (НОУ ВПО «МИПП»)|г. Москва|г. Москва|Негосударственный головной ВУЗ||0838 от 03.03.2011 (Бессрочная)|['030500', '080005', '080100', '120003', '120008']
47|1010|федеральное государственное казенное образовательное учреждение высшего образования «Институт Федеральной службы безопасности Российской Федерации (г. Санкт-Петербург)»|г. Санкт-Петербург|г. Санкт-Петербург|Негосударственный головной ВУЗ|195248, г. Санкт-Петербург, проспект Энергетиков, д. 27|1922 от 08.02.2016 (Бессрочная)|['400501', '570201']
48|1095|Частное образовательное учреждение высшего профессионального образования «Камский институт»|Республика Татарстан (Татарстан)|г. Набережные Челны|Негосударственный головной ВУЗ||2585 от 19.03.2012 (Бессрочная)|['030501', '080507', '280201']
49|11603|Хакасский филиал федерального государственного бюджетного образовательного учреждения высшего профессионального образования «Московский государственный университет экономики, статистики и информатики (МЭСИ)»|Республика Хакасия| г. Москва|Государственный филиал|ул. Нежинская, д. 7, г. Москва, 119501|1913 от 29.09.2011 (Бессрочная)|['030912', '080107', '080114']
50|181|федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный химико-фармацевтический университет» Министерства здравоохранения Российской Федерации|г. Санкт-Петербург|г. Санкт-Петербург|Государственный головной ВУЗ|197376, город Санкт-Петербург, улица Профессора Попова, дом 14, лит. А|2760 от 12.07.2018 (Бессрочная)|['040301', '040601', '060601', '180301', '180401', '180601', '190301', '190401', '190601', '300601', '330201', '330501', '330601', '330801', '330802', '330803', '380307']
51|9911|федеральное государственное образовательное учреждение среднего профессионального образования «Биробиджанский сельскохозяйственный техникум»|Еврейская автономная область||Негосударственный головной ВУЗ|679363, Еврейская автономная область, Ленинский район, с. Бабстово|9093 от 11.07.2007 (Бессрочная)|['080110', '110201', '110301', '111201']
52|2552|Мценский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Орловский государственный университет имени И.С. Тургенева»|Орловская область| г. Мценск|Негосударственный филиал|303030, Орловская область, г. Мценск, ул. Тургенева, д. 196|2076 от 13.04.2016 (Бессрочная)|['080201', '080301', '090203', '090205', '090206', '090207', '130211', '150305', '210204', '220206', '230203', '230303']
53|10332|Федеральное государственное бюджетное учреждение науки Физический институт им. П.Н. Лебедева Российской академии наук|г. Москва|г. Москва|Негосударственный головной ВУЗ|Российская Федерация, 119991, Москва, Ленинский проспект, д. 53|2580 от 19.03.2012 (Бессрочная)|['030601']
54|450|Негосударственное образовательное учреждение высшего профессионального образования «Московский областной институт управления»|Московская область|г. Балашиха|Негосударственный головной ВУЗ|Российская Федерация, 143900, Московская область, г. Балашиха, Шоссе Энтузиастов, д. 59|2334 от 20.12.2011 (Бессрочная)|['030500', '080500']
55|1617|Глазовский инженерно-экономический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Ижевский государственный технический университет имени М.Т. Калашникова»|Удмуртская Республика|г. Глазов|Негосударственный филиал|427622, Удмуртская Республика, г. Глазов, ул. Кирова, д. 36|2244 от 30.06.2016 (Бессрочная)|['090204', '090301', '150305', '380301', '380302']
56|6117|Чегдомынский филиал Федерального государственного образовательного учреждения среднего профессионального образования Хабаровского промышленно-экономического техникума|Хабаровский край||Государственный филиал|Хабаровский край|2158 от 14.11.2011 (Бессрочная)|['030503', '080110', '140613', '190605', '230103']
57|1707|федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»|г. Москва|г. Москва|Государственный головной ВУЗ|129226, г. Москва, ул. Вильгельма Пика, д. 3|1665 от 28.09.2015 (Бессрочная)|['380302', '380601', '500601', '520306', '520402', '520501', '520902', '520903', '520907', '540205', '540208', '540502', '540503', '550201', '550501', '550502', '550503', '550504', '550505', '550901', '550902', '550903']
58|1362|Реутовский филиал Образовательного частного учреждения высшего образования «Международный юридический институт»|Московская область| г. Реутов|Негосударственный филиал|ул. Советская, д. 6А, г. Реутов, Московская область, 143960|1369 от 06.04.2015 (Бессрочная)|['030500', '030501', '030501', '030501', '030900']
59|490|Негосударственное образовательное учреждение высшего профессионального образования «Сибирская академия права, экономики и управления»|Иркутская область|г. Иркутск|Негосударственный головной ВУЗ|664025, Иркутская область, г. Иркутск, ул. Сурикова, д. 21|1121 от 13.04.2011 (Бессрочная)|['020801', '020801', '022000', '030300', '030301', '030301', '030501', '030501', '030900', '032301', '032301', '071800', '073400', '080100', '080105', '080107', '080107', '080109', '080109', '080200', '080503', '080503', '080505', '080505', '080507', '080507', '080801', '080801', '090103', '090900', '120001', '120001', '190007', '190007', '230700', '250400', '250403', '250403', '120001', '120001', '190007', '190007']
60|2328|Дмитровский рыбохозяйственный технологический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Астраханский государственный технический университет»|Московская область|пос. Рыбное|Негосударственный филиал|141821, Московская область, Дмитровский район, поселок Рыбное, 36|2435 от 14.10.2016 (Бессрочная)|['050306', '150206', '160303', '190206', '190303', '350209', '350210', '350308', '380201', '380205', '380301']
61|5809|Калмыцкий филиал федерального государственного бюджетного образовательного учреждения высшего профессионального образования «Московский государственный гуманитаный университет имени М.А. Шолохова»|Республика Калмыкия| г. Элиста|Государственный филиал|пр-т. О. Бендера, д. 19, г. Элиста, Республика Калмыкия, 358014|2452 от 02.02.2012 (Бессрочная)|['050706', '050715']
62|8811|Федеральное государственное образовательное учреждение среднего профессионального образования «Богородицкий техникум электронных приборов»|Тульская область| г. Богородицк|Государственный головной ВУЗ|ул. Коммунаров, д. 157, г. Богородицк, Тульская область, 301831|2003 от 19.10.2011 (Бессрочная)|['080110', '150412', '210104']
63|1036|федеральное казенное образовательное учреждение высшего образования «Кузбасский институт Федеральной службы исполнения наказаний»|Кемеровская область|г. Новокузнецк|Негосударственный головной ВУЗ|Российская Федерация, 654066, Кемеровская область, г. Новокузнецк, пр. Октябрьский, 49|2007 от 17.03.2016 (Бессрочная)|['400301', '400401', '400502', '440501']
64|10796|филиал федерального государственного бюджетного образовательного учреждения высшего образования «Петербургский государственный университет путей сообщения Императора Александра I» в г. Ярославле|Ярославская область| г. Ярославль|Негосударственный филиал|Суздальское шоссе, 13, г. Ярославль, Россия, 150030|2280 от 21.07.2016 (Бессрочная)|['080210', '080301', '090202', '110206', '130207', '230201', '230501', '230503', '230504', '230505', '230506', '270203', '380201', '380202', '380203']
