|id|Название|Регион:|Населённый пункт:|Форма собственности:|Адрес:|Лицензия: №|specialization
11|77|Автономная некоммерческая организация высшего образования «ВОСТОЧНО-ЕВРОПЕЙСКИЙ ИНСТИТУТ ЭКОНОМИКИ, УПРАВЛЕНИЯ И ПРАВА»|Тульская область|г. Тула|Негосударственный головной ВУЗ|Россия, 300012, г. Тула, ул. Оружейная, д. 5а|1794 от 03.12.2015 (Бессрочная)|['380301', '380302']
12|190|федеральное государственное бюджетное образовательное учреждение высшего образования «Смоленский государственный медицинский университет» Министерства здравоохранения Российской Федерации|Смоленская область|г. Смоленск|Государственный головной ВУЗ|214019, Смоленская область, г. Смоленск, ул. Крупской, д. 28|2384 от 14.09.2016 (Бессрочная)|['300501', '300601', '310501', '310502', '310503', '310601', '310801', '310802', '310807', '310809', '310810', '310811', '310816', '310818', '310819', '310820', '310821', '310826', '310832', '310835', '310836', '310837', '310839', '310842', '310849', '310851', '310853', '310854', '310856', '310857', '310858', '310859', '310863', '310866', '310867', '310868', '310869', '310872', '310873', '310874', '310875', '310876', '310877', '320601', '330501', '330601', '340301', '370501']
13|2079|федеральное государственное автономное образовательное учреждение высшего образования «Сибирский федеральный университет»|Красноярский край|г. Красноярск|Государственный головной ВУЗ|660041, г. Красноярск, проспект Свободный, д. 79|2251 от 04.07.2016 (Бессрочная)|['010301', '010302', '010304', '010401', '010402', '010601', '020301', '020401', '020601', '030302', '030402', '030601', '040301', '040401', '040501', '040601', '050302', '050306', '050406', '050601', '060301', '060401', '060601', '070301', '070303', '070304', '070401', '070402', '070404', '070601', '080301', '080401', '080501', '080601', '090301', '090302', '090303', '090304', '090401', '090402', '090403', '090404', '090501', '090601', '100301', '100501', '100503', '110301', '110302', '110303', '110304', '110401', '110402', '110403', '110404', '110501', '110502', '110601', '120301', '120601', '130301', '130302', '130401', '130402', '130601', '140302', '140401', '150301', '150302', '150303', '150304', '150305', '150306', '150401', '150402', '150405', '150406', '150601', '160301', '160401', '180301', '190210', '190304', '190404', '200301', '200302', '200401', '200501', '210301', '210502', '210503', '210504', '210601', '220301', '220302', '220401', '220402', '220601', '230301', '230302', '230303', '230401', '230402', '230403', '230501', '230502', '230601', '250503', '270301', '270302', '270303', '270304', '270305', '270401', '270402', '270403', '270404', '270405', '270601', '280301', '290304', '370301', '370401', '370601', '380201', '380204', '380301', '380302', '380303', '380304', '380305', '380306', '380307', '380401', '380402', '380403', '380404', '380408', '380501', '380502', '380601', '390301', '390302', '390601', '400301', '400401', '400601', '410305', '420301', '420302', '420402', '430201', '430302', '430303', '440301', '440302', '440304', '440401', '440402', '440601', '450301', '450302', '450401', '450402', '450501', '450601', '460301', '460302', '460401', '460601', '470301', '470303', '470601', '490301', '490303', '490401', '490601', '500301', '500403', '500601', '510301', '510303', '510601', '540301', '540302']
14|2657|федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный институт культуры»|Московская область|г. Химки|Государственный головной ВУЗ|141406, Московская область, г. Химки, улица Библиотечная, д. 7|1201 от 24.12.2014 (Бессрочная)|['380301', '380502', '420301', '420302', '420402', '420601', '430302', '430402', '440302', '440601', '450601', '460302', '470601', '500303', '510301', '510302', '510303', '510304', '510305', '510306', '510402', '510403', '510404', '510406', '510501', '510601', '520301', '520306', '520401', '520403', '520501', '520502', '520504', '520904', '520905', '520907', '530203', '530301', '530302', '530303', '530304', '530305', '530306', '530401', '530402', '530403', '530404', '530406', '530504', '540301', '540302', '540401', '550501', '550504', '550901']
15|593|Новочеркасский инженерно-мелиоративный институт имени А.К. Кортунова - филиал федерального государственного бюджетного образовательного учреждения высшего образования «Донской государственный аграрный университет»|Ростовская область| г. Новочеркасск|Негосударственный филиал|346428, Ростовская область, г. Новочеркасск, ул. Пушкинская, 111|1751 от 10.11.2015 (Бессрочная)|['050306', '050306', '050306', '050406', '050601', '080301', '080301', '080301', '080401', '080401', '080401', '080501', '080501', '080502', '080502', '080601', '200203', '200203', '200301', '200301', '200301', '200302', '200302', '200302', '200402', '200402', '200501', '200501', '210204', '210204', '210205', '210205', '210301', '210301', '210301', '210302', '210302', '210302', '210402', '210402', '210402', '230204', '230204', '230301', '230301', '230302', '230302', '230302', '230303', '230303', '230303', '230402', '230402', '230501', '230501', '230501', '350201', '350301', '350301', '350301', '350308', '350308', '350310', '350310', '350310', '350311', '350401', '350401', '350401', '350409', '350409', '350409', '350410', '350601', '350602', '350604', '380301', '380301', '380302', '380302', '380305', '380401', '380401', '380402', '390302', '440301', '440301', '440301', '440304', '440304']
16|6119|Тюменский кардиологический научный центр - филиал Федерального государственного бюджетного научного учреждения «Томский национальный исследовательский медицинский центр Российской академии наук»|Томская область| г. Тюмень|Государственный филиал|625026, г. Тюмень, ул. Мельникайте, 111|2291 от 28.07.2016 (Бессрочная)|['310836']
17|9287|филиал федерального государственного бюджетного образовательного учреждения высшего образования «Санкт-Петербургский государственный экономический университет» в г. Апатиты|Мурманская область||Государственный филиал||1083 от 05.09.2014 (Бессрочная)|['080200', '080502', '230700']
18|10954|федеральное государственное казенное учреждение дополнительного профессионального образования «Всероссийский институт повышения квалификации сотрудников Министерства внутренних дел Российской Федерации»|Московская область| г. Домодедово|Негосударственный головной ВУЗ|Российская Федерация, 142008, Московская обл., г. Домодедово, микрорайон Авиационный, ул. Пихтовая, д. 3|1527 от 30.06.2015 (Бессрочная)|['400701']
19|10663|Сосновоборский филиал федерального государственного бюджетного образовательного учреждения высшего профессионального образования «Санкт-Петербургский государственный университет сервиса и экономики»|Ленинградская область| г. Сосновый Бор|Государственный филиал|ул. Комсомольская, д. 2А, г. Сосновый Бор, Ленинградская область, 188540|2862 от 28.05.2012 (Бессрочная)|['080114', '080500', '080502', '080504', '080507']
20|477|Негосударственное образовательное учреждение высшего профессионального образования «РОСТОВСКИЙ ИНСТИТУТ ИНОСТРАННЫХ ЯЗЫКОВ»|Ростовская область| г. Ростов-на-Дону|Негосударственный головной ВУЗ|ул. 1-я Пролетарская, д. 95/54, г. Ростов-на-Дону, Ростовская область, 344019|2089 от 02.11.2011 (Бессрочная)|['100200']
