|id|Название|Регион:|Населённый пункт:|Форма собственности:|Адрес:|Лицензия: №|specialization
0|12799|Филиал Московского государственного университета имени М.В. Ломоносова в городе Сарове|Нижегородская область||Государственный головной вуз||1353 от 01.04.2015 (Бессрочная)|[]
1|95|Автономная некоммерческая организация высшего образования «Омский экономический институт»|Омская область| г. Омск|Государственный головной вуз|644112, г. Омск, пр-т Комарова, д. 13|1908 от 01.02.2016 (Бессрочная)|[['Профессиональная переподготовка и повышение квалификации по профилю основных профессиональных образовательных программ вуза', 'Профессиональная переподготовка и повышение квалификации по профилю основных профессиональных образовательных программ вуза', '030500', 'Юриспруденция', 'Высшее образование - бакалавриат', '030501', 'Юриспруденция', 'Высшее образование - специалитет', '080109', 'Бухгалтерский учет, анализ и аудит', 'Высшее образование - специалитет'], ['080110', 'Экономика и бухгалтерский учет (по отраслям)', 'Среднее профессиональное образование', '080111', 'Маркетинг', 'Высшее образование - специалитет', '080500', 'Менеджмент', 'Высшее профессиональное образование', '080501', 'Менеджмент (по отраслям)', 'Среднее профессиональное образование', '080502', 'Экономика и управление на предприятии (по отраслям)', 'Высшее образование - специалитет', '080505', 'Управление персоналом', 'ВО - специалитет', '230700', 'Прикладная информатика', 'ВО - магистратура', '260100', 'Технология продуктов питания', 'ВО - магистратура', '260501', 'Технология продуктов общественного питания', 'Высшее образование - специалитет', '260502', 'Технология продукции общественного питания', 'Среднее профессиональное образование', '260800', 'Технология продукции и организация общественного питания', 'Высшее профессиональное образование']]
2|7907|федеральное государственное унитарное предприятие «Ростовский-на-Дону научно-исследовательский институт радиосвязи»|Ростовская область|г. Ростов-на-Дону|Государственный головной вуз|Российская Федерация, 344038, г. Ростов-на-Дону, ул. Нансена, д. 130|0563 от 05.03.2013 (Бессрочная)|[['11.06.01', 'Электроника, радиотехника и системы связи', 'ВО - подготовка кадров высшей квалификации', '11.06.01', 'Электроника, радиотехника и системы связи', 'ВО - подготовка кадров высшей квалификации']]
3|12494|"""Научно-производственное объединение ""Лианозовский электромеханический завод"""|г. Москва||Государственный головной вуз||038432 от 25.05.2017 (Бессрочная)|[]
4|3022|Государственное образовательное учреждение высшего профессионального образования Российско-Армянский (Славянский) университет|образовательные учреждения, находящиеся за пределами Российской Федерации|г. Ереван|Государственный головной ВУЗ|Республика Армения, г. Ереван, ул. Овсепа Эмина, 123|0929 от 14.01.2014 (Бессрочная)|[[' 67 %', ' 100 %', ' 25 %', ' 2', '01.03.02', 'Прикладная математика и информатика', 'ВО - бакалавриат', '01.04.02', 'Прикладная математика и информатика', 'ВО - магистратура', '010400', 'Прикладная математика и информатика', 'Высшее профессиональное образование', '020210', 'Биоинженерия и биоинформатика', 'ВО - специалитет', '03.06.01', 'Физика и астрономия', 'ВО - подготовка кадров высшей квалификации', '030200', 'Политология', 'Высшее профессиональное образование', '030300', 'Психология', 'ВО - магистратура', '030900', 'Юриспруденция', 'ВО - бакалавриат', '030900', 'Юриспруденция', 'ВО - бакалавриат', '031201', 'Теория и методика преподавания иностранных языков и культур', 'ВО - специалитет', '031300', 'Журналистика', 'ВО - магистратура', '031600', 'Реклама и связи с общественностью', 'ВО - магистратура', '031900', 'Международные отношения', 'Высшее профессиональное образование', '031900', 'Международные отношения', 'Высшее профессиональное образование', '032000', 'Зарубежное регионоведение', 'ВО - бакалавриат'], [' 67 %', ' 100 %', ' 25 %', ' 2', '032401', 'Реклама', 'Высшее образование - специалитет', '032700', 'Филология', 'Высшее профессиональное образование', '04.06.01', 'Химические науки', 'ВО - подготовка кадров высшей квалификации', '06.05.01', 'Биоинженерия и биоинформатика', 'ВО - специалитет', '06.06.01', 'Биологические науки', 'ВО - подготовка кадров высшей квалификации', '060108', 'Фармация', 'Высшее образование - специалитет', '060112', 'Медицинская биохимия', 'ВО - специалитет', '070601', 'Режиссура кино и телевидения', 'ВО - специалитет', '080100', 'Экономика', 'Высшее образование - бакалавриат', '080200', 'Менеджмент', 'Высшее профессиональное образование', '09.06.01', 'Информатика и вычислительная техника', 'ВО - подготовка кадров высшей квалификации', '10.06.01', 'Информационная безопасность', 'ВО - подготовка кадров высшей квалификации', '100103', 'Социально-культурный сервис и туризм', 'Высшее образование - специалитет', '100400', 'Туризм', 'Высшее профессиональное образование', '11.03.02', 'Инфокоммуникационные технологии и системы связи', 'ВО - бакалавриат'], [' 67 %', ' 100 %', ' 25 %', ' 2', '11.03.03', 'Конструирование и технология электронных средств', 'ВО - бакалавриат', '11.03.04', 'Электроника и наноэлектроника', 'ВО - бакалавриат', '11.04.02', 'Инфокоммуникационные технологии и системы связи', 'ВО - магистратура', '11.04.04', 'Электроника и наноэлектроника', 'ВО - магистратура', '30.05.01', 'Медицинская биохимия', 'ВО - специалитет', '33.05.01', 'Фармация', 'ВО - специалитет', '37.03.01', 'Психология', 'ВО - бакалавриат', '37.04.01', 'Психология', 'ВО - магистратура', '38.03.01', 'Экономика', 'ВО - бакалавриат', '38.03.02', 'Менеджмент', 'ВО - бакалавриат', '38.04.01', 'Экономика', 'ВО - магистратура', '38.04.02', 'Менеджмент', 'ВО - магистратура', '38.06.01', 'Экономика', 'ВО - подготовка кадров высшей квалификации', '40.03.01', 'Юриспруденция', 'ВО - бакалавриат', '40.04.01', 'Юриспруденция', 'Высшее образование - магистратура'], [' 67 %', ' 100 %', ' 25 %', ' 2', '40.06.01', 'Юриспруденция', 'ВО - подготовка кадров высшей квалификации', '41.03.01', 'Зарубежное регионоведение', 'ВО - бакалавриат', '41.03.04', 'Политология', 'ВО - бакалавриат', '41.03.05', 'Международные отношения', 'ВО - бакалавриат', '41.04.01', 'Зарубежное регионоведение', 'ВО - магистратура', '41.04.04', 'Политология', 'ВО - магистратура', '41.04.05', 'Международные отношения', 'ВО - магистратура', '41.06.01', 'Политические науки и регионоведение', 'ВО - подготовка кадров высшей квалификации', '42.03.01', 'Реклама и связи с общественностью', 'ВО - бакалавриат', '42.03.02', 'Журналистика', 'ВО - бакалавриат', '42.04.02', 'Журналистика', 'ВО - магистратура', '42.06.01', 'Средства массовой информации и информационно-библиотечное дело', 'ВО - подготовка кадров высшей квалификации', '43.03.02', 'Туризм', 'ВО - бакалавриат', '43.04.02', 'Туризм', 'Высшее образование - магистратура', '45.03.01', 'Филология', 'ВО - бакалавриат'], [' 67 %', ' 100 %', ' 25 %', ' 2', '45.03.02', 'Лингвистика', 'ВО - бакалавриат', '45.04.01', 'Филология', 'ВО - магистратура', '45.06.01', 'Языкознание и литературоведение', 'ВО - подготовка кадров высшей квалификации', '47.03.01', 'Философия', 'ВО - бакалавриат', '47.04.01', 'Философия', 'ВО - магистратура', '55.05.01', 'Режиссура кино и телевидения', 'ВО - специалитет']]
